T,X,Y
0.300000,3.856726,4.153345
0.301000,3.869581,4.165713
0.302000,3.882437,4.178072
0.303000,3.895293,4.190420
0.304000,3.908149,4.202759
0.305000,3.921004,4.215087
0.306000,3.933860,4.227406
0.307000,3.946716,4.239716
0.308000,3.959572,4.252015
0.309000,3.972427,4.264305
0.310000,3.985283,4.276584
0.311000,3.998139,4.288854
0.312000,4.010995,4.301115
0.313000,4.023850,4.313365
0.314000,4.036706,4.325606
0.315000,4.049562,4.337836
0.316000,4.062418,4.350057
0.317000,4.075273,4.362268
0.318000,4.088129,4.374470
0.319000,4.100985,4.386661
0.320000,4.113841,4.398843
0.321000,4.126696,4.411015
0.322000,4.139552,4.423177
0.323000,4.152408,4.435329
0.324000,4.165264,4.447471
0.325000,4.178119,4.459604
0.326000,4.190975,4.471727
0.327000,4.203831,4.483840
0.328000,4.216687,4.495943
0.329000,4.229542,4.508037
0.330000,4.242398,4.520120
0.331000,4.255254,4.532194
0.332000,4.268110,4.544258
0.333000,4.280965,4.556312
0.334000,4.293821,4.568356
0.335000,4.306677,4.580391
0.336000,4.319533,4.592416
0.337000,4.332388,4.604431
0.338000,4.345244,4.616436
0.339000,4.358100,4.628431
0.340000,4.370956,4.640417
0.341000,4.383811,4.652392
0.342000,4.396667,4.664358
0.343000,4.409523,4.676314
0.344000,4.422379,4.688260
0.345000,4.435235,4.700197
0.346000,4.448090,4.712123
0.347000,4.460946,4.724040
0.348000,4.473802,4.735947
0.349000,4.486658,4.747844
0.350000,4.499513,4.759732
0.351000,4.512369,4.771609
0.352000,4.525225,4.783477
0.353000,4.538081,4.795335
0.354000,4.550936,4.807183
0.355000,4.563792,4.819022
0.356000,4.576648,4.830850
0.357000,4.589504,4.842669
0.358000,4.602359,4.854478
0.359000,4.615215,4.866277
0.360000,4.628071,4.878066
0.361000,4.640927,4.889846
0.362000,4.653782,4.901615
0.363000,4.666638,4.913375
0.364000,4.679494,4.925125
0.365000,4.692350,4.936865
0.366000,4.705205,4.948596
0.367000,4.718061,4.960317
0.368000,4.730917,4.972027
0.369000,4.743773,4.983728
0.370000,4.756628,4.995420
0.371000,4.769484,5.007101
0.372000,4.782340,5.018772
0.373000,4.795196,5.030434
0.374000,4.808051,5.042086
0.375000,4.820907,5.053728
0.376000,4.833763,5.065361
0.377000,4.846619,5.076983
0.378000,4.859474,5.088596
0.379000,4.872330,5.100199
0.380000,4.885186,5.111792
0.381000,4.898042,5.123375
0.382000,4.910897,5.134949
0.383000,4.923753,5.146512
0.384000,4.936609,5.158066
0.385000,4.949465,5.169610
0.386000,4.962320,5.181144
0.387000,4.975176,5.192669
0.388000,4.988032,5.204183
0.389000,5.000888,5.215688
0.390000,5.013743,5.227183
0.391000,5.026599,5.238668
0.392000,5.039455,5.250144
0.393000,5.052311,5.261609
0.394000,5.065166,5.273065
0.395000,5.078022,5.284511
0.396000,5.090878,5.295947
0.397000,5.103734,5.307373
0.398000,5.116589,5.318790
0.399000,5.129445,5.330197
0.400000,5.142301,5.341594
0.401000,5.155157,5.352981
0.402000,5.168012,5.364358
0.403000,5.180868,5.375725
0.404000,5.193724,5.387083
0.405000,5.206580,5.398431
0.406000,5.219435,5.409769
0.407000,5.232291,5.421097
0.408000,5.245147,5.432415
0.409000,5.258003,5.443724
0.410000,5.270858,5.455023
0.411000,5.283714,5.466312
0.412000,5.296570,5.477591
0.413000,5.309426,5.488860
0.414000,5.322281,5.500120
0.415000,5.335137,5.511370
0.416000,5.347993,5.522610
0.417000,5.360849,5.533840
0.418000,5.373704,5.545060
0.419000,5.386560,5.556271
0.420000,5.399416,5.567471
0.421000,5.412272,5.578662
0.422000,5.425127,5.589843
0.423000,5.437983,5.601014
0.424000,5.450839,5.612176
0.425000,5.463695,5.623328
0.426000,5.476550,5.634469
0.427000,5.489406,5.645601
0.428000,5.502262,5.656724
0.429000,5.515118,5.667836
0.430000,5.527973,5.678939
0.431000,5.540829,5.690031
0.432000,5.553685,5.701114
0.433000,5.566541,5.712187
0.434000,5.579396,5.723251
0.435000,5.592252,5.734304
0.436000,5.605108,5.745348
0.437000,5.617964,5.756382
0.438000,5.630819,5.767406
0.439000,5.643675,5.778420
0.440000,5.656531,5.789425
0.441000,5.669387,5.800420
0.442000,5.682242,5.811404
0.443000,5.695098,5.822380
0.444000,5.707954,5.833345
0.445000,5.720810,5.844300
0.446000,5.733665,5.855246
0.447000,5.746521,5.866182
0.448000,5.759377,5.877108
0.449000,5.772233,5.888024
0.450000,5.785088,5.898930
0.451000,5.797944,5.909827
0.452000,5.810800,5.920714
0.453000,5.823656,5.931591
0.454000,5.836511,5.942458
0.455000,5.849367,5.953315
0.456000,5.862223,5.964163
0.457000,5.875079,5.975000
0.458000,5.887935,5.985828
0.459000,5.900790,5.996646
0.460000,5.913646,6.007455
0.461000,5.926502,6.018253
0.462000,5.939358,6.029042
0.463000,5.952213,6.039821
0.464000,5.965069,6.050590
0.465000,5.977925,6.061349
0.466000,5.990781,6.072098
0.467000,6.003636,6.082838
0.468000,6.016492,6.093568
0.469000,6.029348,6.104288
0.470000,6.042204,6.114998
0.471000,6.055059,6.125698
0.472000,6.067915,6.136389
0.473000,6.080771,6.147070
0.474000,6.093627,6.157741
0.475000,6.106482,6.168402
0.476000,6.119338,6.179053
0.477000,6.132194,6.189695
0.478000,6.145050,6.200326
0.479000,6.157905,6.210948
0.480000,6.170761,6.221560
0.481000,6.183617,6.232163
0.482000,6.196473,6.242755
0.483000,6.209328,6.253338
0.484000,6.222184,6.263911
0.485000,6.235040,6.274474
0.486000,6.247896,6.285027
0.487000,6.260751,6.295570
0.488000,6.273607,6.306104
0.489000,6.286463,6.316628
0.490000,6.299319,6.327142
0.491000,6.312174,6.337646
0.492000,6.325030,6.348140
0.493000,6.337886,6.358625
0.494000,6.350742,6.369099
0.495000,6.363597,6.379564
0.496000,6.376453,6.390020
0.497000,6.389309,6.400465
0.498000,6.402165,6.410900
0.499000,6.415020,6.421326
0.500000,6.427876,6.431742
0.501000,6.440732,6.442148
0.502000,6.453588,6.452544
0.503000,6.466443,6.462931
0.504000,6.479299,6.473307
0.505000,6.492155,6.483674
0.506000,6.505011,6.494031
0.507000,6.517866,6.504378
0.508000,6.530722,6.514716
0.509000,6.543578,6.525043
0.510000,6.556434,6.535361
0.511000,6.569289,6.545669
0.512000,6.582145,6.555967
0.513000,6.595001,6.566256
0.514000,6.607857,6.576534
0.515000,6.620712,6.586803
0.516000,6.633568,6.597062
0.517000,6.646424,6.607311
0.518000,6.659280,6.617550
0.519000,6.672135,6.627780
0.520000,6.684991,6.638000
0.521000,6.697847,6.648209
0.522000,6.710703,6.658410
0.523000,6.723558,6.668600
0.524000,6.736414,6.678780
0.525000,6.749270,6.688951
0.526000,6.762126,6.699112
0.527000,6.774981,6.709263
0.528000,6.787837,6.719404
0.529000,6.800693,6.729535
0.530000,6.813549,6.739657
0.531000,6.826404,6.749769
0.532000,6.839260,6.759871
0.533000,6.852116,6.769963
0.534000,6.864972,6.780045
0.535000,6.877827,6.790118
0.536000,6.890683,6.800180
0.537000,6.903539,6.810233
0.538000,6.916395,6.820276
0.539000,6.929250,6.830310
0.540000,6.942106,6.840333
0.541000,6.954962,6.850347
0.542000,6.967818,6.860351
0.543000,6.980673,6.870345
0.544000,6.993529,6.880329
0.545000,7.006385,6.890304
0.546000,7.019241,6.900268
0.547000,7.032096,6.910223
0.548000,7.044952,6.920168
0.549000,7.057808,6.930103
0.550000,7.070664,6.940029
0.551000,7.083519,6.949944
0.552000,7.096375,6.959850
0.553000,7.109231,6.969746
0.554000,7.122087,6.979632
0.555000,7.134942,6.989508
0.556000,7.147798,6.999375
0.557000,7.160654,7.009232
0.558000,7.173510,7.019079
0.559000,7.186365,7.028916
0.560000,7.199221,7.038743
0.561000,7.212077,7.048560
0.562000,7.224933,7.058368
0.563000,7.237788,7.068166
0.564000,7.250644,7.077954
0.565000,7.263500,7.087732
0.566000,7.276356,7.097501
0.567000,7.289211,7.107259
0.568000,7.302067,7.117008
0.569000,7.314923,7.126747
0.570000,7.327779,7.136476
0.571000,7.340635,7.146196
0.572000,7.353490,7.155905
0.573000,7.366346,7.165605
0.574000,7.379202,7.175295
0.575000,7.392058,7.184975
0.576000,7.404913,7.194645
0.577000,7.417769,7.204306
0.578000,7.430625,7.213957
0.579000,7.443481,7.223598
0.580000,7.456336,7.233229
0.581000,7.469192,7.242850
0.582000,7.482048,7.252461
0.583000,7.494904,7.262063
0.584000,7.507759,7.271655
0.585000,7.520615,7.281237
0.586000,7.533471,7.290809
0.587000,7.546327,7.300372
0.588000,7.559182,7.309924
0.589000,7.572038,7.319467
0.590000,7.584894,7.329000
0.591000,7.597750,7.338523
0.592000,7.610605,7.348037
0.593000,7.623461,7.357540
0.594000,7.636317,7.367034
0.595000,7.649173,7.376518
0.596000,7.662028,7.385992
0.597000,7.674884,7.395456
0.598000,7.687740,7.404911
0.599000,7.700596,7.414355
0.600000,7.713451,7.423790
0.601000,7.726307,7.433215
0.602000,7.739163,7.442631
0.603000,7.752019,7.452036
0.604000,7.764874,7.461432
0.605000,7.777730,7.470818
0.606000,7.790586,7.480194
0.607000,7.803442,7.489560
0.608000,7.816297,7.498916
0.609000,7.829153,7.508263
0.610000,7.842009,7.517600
0.611000,7.854865,7.526927
0.612000,7.867720,7.536244
0.613000,7.880576,7.545551
0.614000,7.893432,7.554849
0.615000,7.906288,7.564136
0.616000,7.919143,7.573414
0.617000,7.931999,7.582682
0.618000,7.944855,7.591941
0.619000,7.957711,7.601189
0.620000,7.970566,7.610428
0.621000,7.983422,7.619657
0.622000,7.996278,7.628876
0.623000,8.009134,7.638085
0.624000,8.021989,7.647285
0.625000,8.034845,7.656474
0.626000,8.047701,7.665654
0.627000,8.060557,7.674824
0.628000,8.073412,7.683984
0.629000,8.086268,7.693135
0.630000,8.099124,7.702275
0.631000,8.111980,7.711406
0.632000,8.124835,7.720527
0.633000,8.137691,7.729638
0.634000,8.150547,7.738740
0.635000,8.163403,7.747831
0.636000,8.176258,7.756913
0.637000,8.189114,7.765985
0.638000,8.201970,7.775047
0.639000,8.214826,7.784099
0.640000,8.227681,7.793142
0.641000,8.240537,7.802174
